Site,CollectionDate,Month,Year,SampleID,Length,WetGonadicMass,WetSomaticMass,WetTotalMass,WGSI,DryGonadicMass,DrySomaticMass,DryShellMass,DryTotalMass,DGSI,PelletMass,CalGram,CalMus,UnburnedFuse,FuseEnergy,Notes
Coleman,2015-08-13,August,2015,M234,31,0.0464,0.4469,0.4933,9.406,0.0039,0.0543,1.5218,0.0582,6.701,0.0262,4252.77,247.51,.,.,
Coleman,2015-08-13,August,2015,M235,35,0.0611,0.49,0.5511,11.0869,0.0075,0.0666,1.2348,0.0741,10.1215,0.0978,5673.38,420.4,.,.,
Coleman,2015-08-13,August,2015,M236,35,0.0299,0.4661,0.496,6.0282,0.0026,0.0598,1.1379,0.0624,4.1667,0.0624,.,.,.,.,
Coleman,2015-08-13,August,2015,M237,34,0.062,0.6803,0.7423,8.3524,0.0066,0.0884,1.3115,0.095,6.9474,0.0874,4285.96,407.17,.,.,
Coleman,2015-08-13,August,2015,M238,25,0.0099,0.2793,0.2892,3.4232,0.0016,0.0355,0.47,0.0371,4.3127,0.0271,4390.46,162.89,.,.,
Coleman,2015-08-13,August,2015,M239,31,0.0674,0.5292,0.5966,11.2974,0.006,0.0618,0.9189,0.0678,8.8496,0.0622,4400.95,298.38,.,.,
Coleman,2015-08-13,August,2015,M240,32,0.0545,0.5014,0.5559,9.8039,0.0057,0.0606,1.0873,0.0663,8.5973,0.0644,4307.97,285.62,.,.,
Coleman,2015-08-13,August,2015,M241,32,0.0586,0.435,0.4936,11.872,0.0051,0.0527,1.2134,0.0578,8.8235,0.0515,4506.94,260.5,.,.,
Coleman,2015-08-13,August,2015,M242,32,0.0252,0.4517,0.4769,5.2841,0.0035,0.0577,0.9081,0.0612,5.719,0.053,4200.92,257.1,.,.,
Coleman,2015-08-13,August,2015,M243,32,0.0501,0.521,0.5711,8.7725,0.0023,0.0519,1.1386,0.0542,4.2435,0.05,4368.28,236.76,.,.,
Seward,2015-07-14,July,2015,M244,33,0.0904,0.5563,0.6467,13.9787,0.0078,0.0687,1.1865,0.0765,10.1961,0.0618,4735.65,362.28,.,.,
Seward,2015-07-14,July,2015,M245,33,0.1312,0.659,0.7902,16.6034,0.0123,0.0803,1.3392,0.0926,13.2829,0.0823,4833.4,447.57,.,.,
Seward,2015-07-14,July,2015,M246,40,0.1102,0.9311,1.0413,10.5829,0.0091,0.1056,2.0546,0.1147,7.9337,0.0985,4771.53,547.29,.,.,
Seward,2015-07-14,July,2015,M247,29,0.0351,0.3646,0.3997,8.7816,0.0033,0.0468,0.9405,0.0501,6.5868,0.0453,4883.19,244.65,.,.,
Seward,2015-07-14,July,2015,M248,37,0.1366,0.7442,0.8808,15.5086,0.0161,0.0875,1.6063,0.1036,15.5405,0.0931,4729.13,489.94,.,.,
Agnes,2015-07-14,July,2015,M249,37,0.076,0.8152,0.8912,8.5278,0.0058,0.0794,2.4325,0.0852,6.8075,0.0711,4336.87,369.5,4.1,13.57,
Agnes,2015-07-14,July,2015,M250,42,0.2553,1.1333,1.3886,18.3854,0.0153,0.1194,3.6964,0.1347,11.3586,0.1214,4666.97,628.64,5.7,9.89,
Agnes,2015-07-14,July,2015,M251,43,0.1708,1.1594,1.3302,12.8402,0.0115,0.1446,4.525,0.1561,7.3671,0.1458,4600.58,718.15,5,11.5,
Agnes,2015-07-14,July,2015,M252,33,0.0614,0.5756,0.637,9.6389,0.0055,0.0725,2.0891,0.078,7.0513,0.0615,4235.35,330.36,3.4,15.18,
Agnes,2015-07-14,July,2015,M253,39,0.106,0.912,1.018,10.4126,0.011,0.1087,1.7515,0.1197,9.1896,0.1092,4592.54,549.73,2.3,17.71,
Seward,2015-04-28,April,2015,M254,37,0.1649,0.5951,0.76,21.6974,0.016,0.1087,1.83,0.1247,12.8308,0.0897,4602.14,573.89,2.1,18.17,
Seward,2015-04-28,April,2015,M255,34,0.0737,0.5642,0.6379,11.5535,0.0065,0.0761,1.1606,0.0826,7.8692,0.072,4245.93,350.71,3.5,14.95,
Seward,2015-04-28,April,2015,M256,35,0.079,0.576,0.655,12.0611,0.0082,0.0672,1.6525,0.0754,10.8753,0.0678,4495.38,338.95,5.5,10.35,
Seward,2015-04-28,April,2015,M257,34,0.101,0.6061,0.7071,14.2837,0.0119,0.091,1.7634,0.1029,11.5646,0.088,4634.73,476.91,1.1,20.47,
Seward,2015-04-28,April,2015,M258,30,0.1006,0.4606,0.5612,17.9259,0.0104,0.0627,0.9812,0.0731,14.2271,0.056,4158.76,304.01,4,13.8,
Seward,2015-07-14,July,2015,M259,35,0.2069,0.6449,0.8518,24.2897,0.0357,0.0827,1.9812,0.1184,30.152,0.1049,4375.19,518.02,4.2,13.34,
Seward,2015-07-14,July,2015,M260,32,0.277,0.7135,0.9905,27.9657,0.0499,0.0511,2.9812,0.101,49.4059,0.1432,4469.85,451.45,4,13.8,
Seward,2015-07-14,July,2015,M261,34,0.365,0.7878,1.1528,31.662,0.0545,0.1231,3.9812,0.1776,30.6869,0.153,4378.58,777.64,3.6,14.72,
Seward,2015-07-14,July,2015,M262,37,0.1512,0.6526,0.8038,18.8106,0.033,0.1111,2.2783,0.1441,22.9008,0.1357,4638.1,668.35,6.3,8.51,
Seward,2015-07-14,July,2015,M263,34,0.3047,0.6177,0.9224,33.0334,0.0532,0.116,2.1006,0.1692,31.4421,0.1532,4542.44,768.58,2.5,17.25,
Agnes,2015-07-14,July,2015,M264,36,0.075,0.5787,0.6537,11.4732,0.0114,0.1009,2.0861,0.1123,10.1514,0.0982,4720.2,530.08,.,.,
Agnes,2015-07-14,July,2015,M265,35,0.0835,0.4695,0.553,15.0995,0.0128,0.0743,2.7511,0.0871,14.6958,0.0723,4770.66,415.52,.,.,
Agnes,2015-07-14,July,2015,M266,35,0.2364,0.5348,0.7712,30.6535,0.0236,0.0741,2.5851,0.0977,24.1556,0.0844,4511.2,440.74,.,.,
Agnes,2015-07-14,July,2015,M267,32,0.0146,0.3559,0.3705,3.9406,0.0016,0.0488,2.2415,0.0504,3.1746,0.0415,4496.11,226.6,.,.,
Agnes,2015-07-14,July,2015,M268,31,0.0395,0.3306,0.3701,10.6728,0.0047,0.0496,1.72,0.0543,8.6556,0.0429,4580.8,248.74,.,.,
Agnes,2015-07-14,July,2015,M269,33,0.0362,0.4854,0.5216,6.9402,0.0042,0.0639,2.1232,0.0681,6.1674,0.0557,4520.44,307.84,.,.,
Agnes,2015-07-14,July,2015,M270,36,0.0603,0.5673,0.6276,9.608,0.0072,0.0784,1.7883,0.0856,8.4112,0.0695,4706.24,402.85,.,.,
Agnes,2015-07-14,July,2015,M271,38,0.0698,0.6,0.6698,10.421,0.0095,0.0901,2.4812,0.0996,9.5382,0.0841,4771.86,475.28,.,.,
Agnes,2015-07-14,July,2015,M272,37,0.0706,0.6099,0.6805,10.3747,0.0113,0.0862,1.8925,0.0975,11.5897,0.0794,4591.34,447.66,.,.,
Agnes,2015-07-14,July,2015,M273,35,0.0378,0.5578,0.5956,6.3465,0.0053,0.0841,2.4329,0.0894,5.9284,0.0697,4689.46,419.24,.,.,
Agnes,2015-07-14,July,2015,M274,32,0.0471,0.4268,0.4739,9.9388,0.0071,0.0607,1.5719,0.0678,10.472,0.0564,4207.09,285.24,4,13.8,
Agnes,2015-07-14,July,2015,M275,29,0.0101,0.3112,0.3213,3.1435,0.0019,0.0391,1.0491,0.041,4.6341,0.0298,3358.88,137.71,.,.,
Agnes,2015-07-14,July,2015,M276,40,0.1643,0.785,0.9493,17.3075,0.0234,0.0993,2.4803,0.1227,19.0709,0.1075,4782.36,586.8,.,.,
Agnes,2015-07-14,July,2015,M277,33,0.0564,0.5424,0.5988,9.4188,0.0081,0.0838,2.1336,0.0919,8.8139,0.08,4291.72,394.41,5.8,9.66,
Agnes,2015-07-14,July,2015,M278,33,0.0605,0.3275,0.388,15.5928,0.009,0.0444,1.4256,0.0534,16.8539,0.0426,4826.64,257.74,4,13.8,
